time,views
1723030339.6406486,16564471.0
1723030349.678214,16564651.0
1723030359.6718419,16564777.0
1723030369.7441463,16564966.0
1723030379.6762788,16565146.0
1723030389.638735,16565272.0
1723030399.6604426,16565443.0
1723030410.000174,16565623.0
1723030419.6953042,16565749.0
1723030429.7114236,16565947.0
1723030439.6574373,16566172.0
1723030449.6242194,16566253.0
1723030459.6481924,16566424.0
1723030469.6231546,16566649.0
1723030479.673481,16566766.0
1723030489.7134457,16566919.0
1723030499.7056708,16567144.0
1723030509.6459985,16567162.0
1723030519.6254869,16567387.0
1723030529.7006786,16567549.0
1723030539.6785004,16567639.0
1723030549.7311442,16567882.0
1723030559.646089,16568062.0
1723030569.673507,16568188.0
1723030579.655058,16568359.0
1723030589.6988003,16568539.0
1723030599.6703024,16568665.0
1723030609.7217193,16568854.0
1723030619.7227645,16569034.0
1723030629.6878655,16569160.0
1723030639.6950755,16569331.0
1723030649.606534,16569547.0
1723030659.657393,16569637.0
1723030669.7248523,16569826.0
1723030679.6942928,16570060.0
1723030689.6531818,16570168.0
1723030699.7314608,16570312.0
1723030709.723247,16570537.0
1723030720.2847002,16570663.0
1723030729.6526191,16570798.0
1723030739.696924,16570960.0
1723030749.6009417,16571050.0
1723030759.6692085,16571275.0
1723030769.6797915,16571455.0
1723030779.6659877,16571572.0
1723030789.6756666,16571770.0
1723030799.7350957,16571950.0
1723030809.6569235,16572076.0
1723030819.633032,16572247.0
1723030829.630922,16572436.0
1723030839.7148852,16572553.0
1723030849.7072296,16572742.0
1723030859.643378,16572958.0
1723030869.6561735,16573048.0
1723030879.7473135,16573219.0
1723030889.6855135,16573444.0
1723030899.678172,16573561.0
1723030909.7401679,16573705.0
1723030919.730999,16573822.0
1723030929.6119509,16573957.0
1723030939.6724894,16574182.0
1723030949.6332817,16574362.0
1723030959.618944,16574479.0
1723030969.662208,16574677.0
1723030979.6705146,16574857.0
1723030989.6456597,16574983.0
1723030999.6913958,16575154.0
1723031009.6152384,16575343.0
1723031019.6682227,16575460.0
1723031029.6508315,16575649.0
1723031039.6420846,16575865.0
1723031049.648983,16575955.0
1723031059.7097409,16576126.0
1723031069.6610372,16576351.0
1723031079.677705,16576441.0
1723031089.6273088,16576612.0
1723031099.6592937,16576729.0
1723031109.6436365,16576864.0
1723031119.6551228,16577089.0
1723031129.6730018,16577269.0
1723031139.6353874,16577404.0
1723031149.7333581,16577593.0
1723031159.6600776,16577773.0
1723031169.6622708,16577899.0
1723031179.6644022,16578070.0
1723031189.6504297,16578250.0
1723031199.6366882,16578376.0
1723031209.6935177,16578565.0
1723031219.6567464,16578754.0
1723031229.6620667,16578871.0
1723031239.6690698,16579042.0
1723031249.63541,16579267.0
1723031259.617338,16579357.0
1723031269.6616533,16579537.0
1723031279.6767979,16579762.0
1723031289.659556,16579798.0
1723031299.729582,16580023.0
1723031309.6468616,16580140.0
1723031319.6769953,16580275.0
1723031329.9606802,16580518.0
1723031339.6549697,16580689.0
1723031349.631707,16580824.0
1723031359.6722991,16581004.0
1723031369.672858,16581175.0
1723031379.669805,16581310.0
1723031389.661929,16581499.0
1723031399.6601763,16581679.0
1723031409.6413386,16581805.0
1723031419.6489005,16581976.0
1723031429.6706073,16582174.0
1723031439.6649218,16582291.0
1723031449.7115006,16582480.0
1723031459.6316087,16582705.0
1723031469.6552346,16582786.0
1723031479.634692,16582957.0
1723031489.639054,16583065.0
1723031499.6721573,16583200.0
1723031509.6412327,16583443.0
1723031519.6658273,16583551.0
1723031529.6551397,16583695.0
1723031539.70359,16583920.0
1723031549.640396,16584091.0
1723031559.6701355,16584226.0
1723031569.6930442,16584415.0
1723031579.666443,16584595.0
1723031589.6247165,16584721.0
1723031599.6456468,16584892.0
1723031609.6219115,16585081.0
1723031619.6992033,16585198.0
1723031629.7087944,16585387.0
1723031640.2481458,16585567.0
1723031649.6066954,16585693.0
1723031659.646246,16585864.0
1723031669.6814792,16586089.0
1723031679.63677,16586179.0
1723031689.7224839,16586359.0
1723031699.6523373,16586467.0
1723031709.6322982,16586602.0
1723031719.634456,16586827.0
1723031729.6469512,16586935.0
1723031739.6632824,16587079.0
1723031749.68862,16587322.0
1723031759.6817162,16587493.0
1723031769.6709855,16587628.0
1723031779.6426878,16587799.0
1723031789.6550815,16587979.0
1723031799.660852,16588105.0
1723031809.6432488,16588303.0
1723031819.6619747,16588483.0
1723031829.6450374,16588609.0
1723031839.6347163,16588780.0
1723031849.6819255,16588960.0
1723031859.6403694,16589095.0
1723031869.6868157,16589275.0
1723031879.6582575,16589491.0
1723031889.6946955,16589581.0
1723031899.650547,16589752.0
1723031909.6515396,16589851.0
1723031919.61944,16589995.0
1723031929.6168852,16590238.0
1723031939.649384,16590409.0
1723031949.646624,16590490.0
1723031959.6472514,16590715.0
1723031969.613781,16590895.0
1723031979.6566768,16591021.0
1723031989.6379285,16591219.0
1723031999.6338918,16591399.0
1723032009.657828,16591525.0
1723032019.6616309,16591696.0
1723032029.650046,16591912.0
1723032039.6514852,16592011.0
1723032049.7064147,16592191.0
1723032059.604836,16592263.0
1723032069.6403577,16592443.0
1723032079.708497,16592668.0
1723032089.616997,16592848.0
1723032099.6598763,16592974.0
1723032109.657521,16593163.0
1723032119.6157138,16593343.0
1723032129.6538744,16593469.0
1723032139.6913211,16593640.0
1723032149.6448472,16593820.0
1723032159.654486,16593955.0
1723032169.644201,16594144.0
1723032179.6090498,16594360.0
1723032189.6310682,16594387.0
1723032199.626695,16594639.0
1723032209.6594346,16594747.0
1723032219.6555288,16594900.0
1723032229.642722,16595143.0
1723032239.6549482,16595323.0
1723032249.7576714,16595395.0
1723032260.1724653,16595620.0
1723032269.648368,16595800.0
1723032279.6490319,16595926.0
1723032289.6654708,16596115.0
1723032299.658577,16596295.0
1723032309.6474242,16596421.0
1723032319.6926963,16596592.0
1723032329.6230989,16596664.0
1723032339.6883059,16596835.0
1723032349.6751215,16597078.0
1723032359.6196904,16597186.0
1723032369.636111,16597330.0
1723032379.6141927,16597555.0
1723032389.664592,16597726.0
1723032399.6136823,16597807.0
1723032409.644681,16598050.0
1723032419.6425822,16598230.0
1723032429.6533725,16598356.0
1723032439.6214051,16598527.0
1723032449.6608486,16598707.0
1723032459.6532376,16598833.0
1723032469.629457,16599022.0
1723032479.6601818,16599220.0
1723032489.6434164,16599328.0
1723032499.6496928,16599499.0
1723032509.6623898,16599571.0
1723032519.667785,16599742.0
1723032529.607135,16599985.0
1723032539.6750417,16600093.0
1723032549.630764,16600237.0
1723032559.661369,16600462.0
1723032570.0807197,16600588.0
1723032579.697515,16600732.0
1723032589.6878245,16600975.0
1723032599.633686,16601146.0
1723032609.6282222,16601281.0
1723032619.6479356,16601461.0
1723032629.627257,16601641.0
1723032639.6506267,16601767.0
1723032649.64469,16601956.0
1723032659.6231494,16602145.0
1723032669.6213958,16602271.0
1723032679.6547656,16602442.0
1723032689.7397223,16602640.0
1723032699.6214259,16602766.0
1723032709.6964674,16602946.0
1723032719.599131,16603018.0
1723032729.6263053,16603189.0
1723032739.712597,16603414.0
1723032749.6778224,16603495.0
1723032759.6257045,16603666.0
1723032769.6479702,16603909.0
1723032779.650493,16604017.0
1723032789.6353753,16604161.0
1723032799.6237016,16604386.0
1723032809.7143168,16604557.0
1723032819.6162448,16604692.0
1723032829.6954682,16604881.0
1723032839.6901298,16605061.0
1723032849.6542728,16605187.0
1723032859.6180353,16605358.0
1723032869.642271,16605538.0
1723032880.0160844,16605673.0
1723032889.720555,16605853.0
1723032899.6697528,16606033.0
1723032909.7308223,16606096.0
1723032919.653274,16606312.0
1723032929.6998332,16606402.0
1723032939.6752284,16606573.0
1723032949.6830451,16606816.0
1723032959.6295252,16606924.0
1723032969.6469617,16607068.0
1723032979.646752,16607293.0
1723032989.6696355,16607410.0
1723032999.637222,16607545.0
1723033009.6335332,16607788.0
1723033019.6992817,16607959.0
